Location Code,County,Area Name,Region,Year Reported ,Number Overweight,Percent Overweight,Number Obese,Percent Obese,Number Overweight or Obese,Percent Overweight or Obese,Grade Level,Number Healthy Weight,Percent Healthy Weight,Sex,Total (Estimated) Number of Students
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2015-2017,67,12.1,101,18.3,168,30.4,ELEMENTARY,377,0.683,FEMALE,552
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2015-2017,91,15.8,89,15.5,180,31.3,ELEMENTARY,396,0.688,MALE,576
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2015-2017,109,16.8,143,22.0,252,38.8,MIDDLE/HIGH,397,0.612,ALL,649
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2015-2017,67,20.4,59,18.0,126,38.4,MIDDLE/HIGH,202,0.616,FEMALE,328
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2015-2017,42,13.1,84,26.2,126,39.3,MIDDLE/HIGH,195,0.607,MALE,321
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2016-2018,288,14.8,389,20.0,677,34.8,DISTRICT TOTAL,1258,0.646,ALL,1947
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2016-2018,133,13.9,190,19.8,323,33.7,DISTRICT TOTAL,629,0.656,FEMALE,959
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2016-2018,155,15.7,199,20.1,354,35.8,DISTRICT TOTAL,629,0.637,MALE,987
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2016-2018,156,13.5,192,16.6,348,30.1,ELEMENTARY,803,0.693,ALL,1159
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2016-2018,69,12.0,102,17.7,171,29.7,ELEMENTARY,398,0.691,FEMALE,576
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2016-2018,87,14.9,90,15.5,177,30.4,ELEMENTARY,405,0.696,MALE,582
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2016-2018,94,14.6,151,23.5,245,38.2,MIDDLE/HIGH,397,0.618,ALL,642
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2016-2018,46,14.3,64,19.9,110,34.3,MIDDLE/HIGH,211,0.657,FEMALE,321
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2016-2018,48,14.4,87,26.1,135,40.5,MIDDLE/HIGH,198,0.595,MALE,333
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2017-2019,270,14.6,376,20.3,646,34.9,DISTRICT TOTAL,1196,0.646,ALL,1851
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2017-2019,132,14.3,183,19.8,315,34.1,DISTRICT TOTAL,605,0.654,FEMALE,925
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2017-2019,138,14.9,193,20.8,331,35.7,DISTRICT TOTAL,591,0.638,MALE,926
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2017-2019,157,14.0,197,17.5,354,31.5,ELEMENTARY,771,0.685,ALL,1126
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2017-2019,77,13.6,105,18.6,182,32.2,ELEMENTARY,384,0.678,FEMALE,566
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2017-2019,80,14.3,92,16.5,172,30.8,ELEMENTARY,387,0.692,MALE,559
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2017-2019,90,15.1,138,23.2,228,38.3,MIDDLE/HIGH,367,0.617,ALL,595
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2017-2019,35,12.2,58,20.2,93,32.4,MIDDLE/HIGH,194,0.676,FEMALE,287
120000,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2017-2019,55,17.9,80,26.0,135,43.8,MIDDLE/HIGH,173,0.562,MALE,308
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2010-2012,1721,16.6,1888,18.2,3609,34.8,DISTRICT TOTAL,6611,0.637,ALL,10378
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2010-2012,842,16.6,843,16.6,1685,33.2,DISTRICT TOTAL,3314,0.653,FEMALE,5075
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2010-2012,879,16.6,1045,19.7,1924,36.3,DISTRICT TOTAL,3297,0.621,MALE,5309
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2010-2012,909,16.2,961,17.1,1870,33.3,ELEMENTARY,3654,0.652,ALL,5604
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2010-2012,463,16.9,425,15.5,888,32.4,ELEMENTARY,1799,0.656,FEMALE,2742
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2010-2012,446,15.6,536,18.7,982,34.3,ELEMENTARY,1855,0.647,MALE,2867
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2010-2012,872,18.2,924,19.3,1796,37.4,MIDDLE/HIGH,2941,0.613,ALL,4798
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2010-2012,405,16.9,432,18.0,837,34.9,MIDDLE/HIGH,1539,0.641,FEMALE,2401
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2010-2012,467,19.5,492,20.5,959,40.0,MIDDLE/HIGH,1402,0.584,MALE,2401
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2011-2013,1284,15.1,1596,18.8,2880,33.9,DISTRICT TOTAL,5471,0.643,ALL,8509
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2011-2013,631,15.3,724,17.6,1355,32.9,DISTRICT TOTAL,2688,0.653,FEMALE,4116
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2011-2013,653,14.9,872,19.9,1525,34.8,DISTRICT TOTAL,2783,0.634,MALE,4390
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2011-2013,684,14.5,788,16.8,1472,31.3,ELEMENTARY,3152,0.67,ALL,4704
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2011-2013,326,13.9,370,15.8,696,29.7,ELEMENTARY,1594,0.681,FEMALE,2341
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2011-2013,358,15.2,418,17.7,776,32.8,ELEMENTARY,1558,0.659,MALE,2364
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2011-2013,652,17.3,790,20.9,1442,38.2,MIDDLE/HIGH,2295,0.607,ALL,3781
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2011-2013,323,17.9,354,19.7,677,37.6,MIDDLE/HIGH,1109,0.616,FEMALE,1800
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2011-2013,329,16.6,436,22.1,765,38.7,MIDDLE/HIGH,1186,0.6,MALE,1977
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,2091,16.4,2302,18.0,4393,34.4,DISTRICT TOTAL,8120,0.635,ALL,12787
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,1020,16.3,1087,17.4,2107,33.7,DISTRICT TOTAL,4013,0.642,FEMALE,6251
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,1071,16.4,1215,18.6,2286,35.0,DISTRICT TOTAL,4107,0.628,MALE,6540
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,1156,15.7,1266,17.2,2422,32.9,ELEMENTARY,4775,0.648,ALL,7369
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,547,14.9,604,16.4,1151,31.3,ELEMENTARY,2436,0.663,FEMALE,3674
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,609,16.5,662,17.9,1271,34.4,ELEMENTARY,2339,0.634,MALE,3689
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,933,17.3,1034,19.2,1967,36.5,MIDDLE/HIGH,3345,0.621,ALL,5386
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,471,18.4,481,18.8,952,37.3,MIDDLE/HIGH,1577,0.617,FEMALE,2556
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,462,16.3,553,19.5,1015,35.8,MIDDLE/HIGH,1768,0.624,MALE,2833
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2013-2015,2136,16.8,2247,17.7,4383,34.5,DISTRICT TOTAL,8049,0.633,ALL,12716
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2013-2015,1097,17.1,1202,18.7,2299,35.9,DISTRICT TOTAL,3963,0.618,FEMALE,6413
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2013-2015,1039,16.5,1045,16.6,2084,33.1,DISTRICT TOTAL,4086,0.649,MALE,6296
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2013-2015,1179,16.2,1251,17.2,2430,33.4,ELEMENTARY,4683,0.643,ALL,7283
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2013-2015,605,16.4,667,18.1,1272,34.6,ELEMENTARY,2321,0.631,FEMALE,3678
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2013-2015,574,15.9,584,16.2,1158,32.1,ELEMENTARY,2362,0.656,MALE,3601
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2013-2015,953,17.6,994,18.4,1947,36.0,MIDDLE/HIGH,3361,0.622,ALL,5404
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2013-2015,488,17.9,535,19.6,1023,37.5,MIDDLE/HIGH,1641,0.602,FEMALE,2726
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2013-2015,465,17.4,459,17.1,924,34.5,MIDDLE/HIGH,1720,0.643,MALE,2675
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2014-2016,1902,16.4,2006,17.3,3908,33.8,DISTRICT TOTAL,7377,0.639,ALL,11545
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2014-2016,952,16.6,915,16.0,1867,32.6,DISTRICT TOTAL,3752,0.655,FEMALE,5728
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2014-2016,950,16.3,1091,18.8,2041,35.1,DISTRICT TOTAL,3625,0.623,MALE,5819
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2014-2016,1036,16.1,1019,15.9,2055,32.1,ELEMENTARY,4206,0.658,ALL,6392
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2014-2016,528,16.8,464,14.8,992,31.6,ELEMENTARY,2089,0.664,FEMALE,3146
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2014-2016,508,15.6,555,17.1,1063,32.7,ELEMENTARY,2117,0.651,MALE,3252
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2014-2016,862,16.9,968,19.0,1830,35.9,MIDDLE/HIGH,3166,0.622,ALL,5090
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2014-2016,424,16.7,432,17.0,856,33.6,MIDDLE/HIGH,1659,0.652,FEMALE,2544
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2014-2016,438,17.2,536,21.0,974,38.2,MIDDLE/HIGH,1507,0.591,MALE,2550
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2015-2017,1764,15.9,1911,17.2,3675,33.1,DISTRICT TOTAL,7172,0.645,ALL,11119
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2015-2017,899,16.4,871,15.8,1770,32.2,DISTRICT TOTAL,3619,0.658,FEMALE,5500
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2015-2017,865,15.4,1040,18.5,1905,33.9,DISTRICT TOTAL,3553,0.633,MALE,5613
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2015-2017,941,15.4,944,15.5,1885,30.9,ELEMENTARY,4080,0.67,ALL,6090
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2015-2017,493,16.4,432,14.4,925,30.8,ELEMENTARY,2023,0.674,FEMALE,3001
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2015-2017,448,14.5,512,16.6,960,31.1,ELEMENTARY,2057,0.666,MALE,3089
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2015-2017,823,16.6,947,19.1,1770,35.8,MIDDLE/HIGH,3092,0.625,ALL,4947
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2015-2017,406,16.6,422,17.2,828,33.8,MIDDLE/HIGH,1596,0.651,FEMALE,2452
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2015-2017,417,16.7,525,21.0,942,37.7,MIDDLE/HIGH,1496,0.598,MALE,2502
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2016-2018,1774,15.9,1965,17.6,3739,33.5,DISTRICT TOTAL,7140,0.64,ALL,11156
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2016-2018,883,16.0,892,16.1,1775,32.1,DISTRICT TOTAL,3632,0.657,FEMALE,5528
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2016-2018,891,15.9,1073,19.1,1964,35.0,DISTRICT TOTAL,3508,0.624,MALE,5622
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2016-2018,979,15.5,997,15.8,1976,31.4,ELEMENTARY,4182,0.664,ALL,6298
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2016-2018,481,15.4,468,15.0,949,30.5,ELEMENTARY,2089,0.671,FEMALE,3113
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2016-2018,498,15.6,529,16.6,1027,32.2,ELEMENTARY,2093,0.657,MALE,3186
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2016-2018,785,16.4,965,20.2,1750,36.7,MIDDLE/HIGH,2940,0.616,ALL,4773
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2016-2018,402,16.9,424,17.8,826,34.7,MIDDLE/HIGH,1525,0.641,FEMALE,2379
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2016-2018,383,16.0,541,22.6,924,38.6,MIDDLE/HIGH,1415,0.591,MALE,2394
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2017-2019,1827,16.5,1955,17.6,3782,34.1,DISTRICT TOTAL,7027,0.633,ALL,11101
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2017-2019,919,17.0,890,16.4,1809,33.4,DISTRICT TOTAL,3482,0.642,FEMALE,5424
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2017-2019,908,16.0,1065,18.7,1973,34.7,DISTRICT TOTAL,3545,0.624,MALE,5681
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2017-2019,1015,15.9,1013,15.8,2028,31.7,ELEMENTARY,4203,0.657,ALL,6397
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2017-2019,496,16.0,472,15.2,968,31.2,ELEMENTARY,2040,0.658,FEMALE,3100
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2017-2019,519,15.7,541,16.4,1060,32.2,ELEMENTARY,2163,0.656,MALE,3297
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2017-2019,802,17.2,942,20.3,1744,37.5,MIDDLE/HIGH,2806,0.603,ALL,4653
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2017-2019,423,18.4,418,18.2,841,36.6,MIDDLE/HIGH,1424,0.62,FEMALE,2297
130000,DUTCHESS,DUTCHESS,HUDSON VALLEY,2017-2019,379,16.1,524,22.3,903,38.4,MIDDLE/HIGH,1382,0.587,MALE,2354
140000,ERIE,ERIE,WESTERN NEW YORK,2010-2012,4648,15.3,4983,16.4,9631,31.7,DISTRICT TOTAL,20012,0.659,ALL,30367
140000,ERIE,ERIE,WESTERN NEW YORK,2010-2012,2278,15.3,2277,15.3,4555,30.5,DISTRICT TOTAL,9982,0.669,FEMALE,14921
140000,ERIE,ERIE,WESTERN NEW YORK,2010-2012,2370,15.4,2706,17.5,5076,32.9,DISTRICT TOTAL,10030,0.65,MALE,15431
140000,ERIE,ERIE,WESTERN NEW YORK,2010-2012,2653,14.5,2913,15.9,5566,30.4,ELEMENTARY,12320,0.674,ALL,18279
140000,ERIE,ERIE,WESTERN NEW YORK,2010-2012,1271,14.2,1374,15.4,2645,29.6,ELEMENTARY,6072,0.679,FEMALE,8943
140000,ERIE,ERIE,WESTERN NEW YORK,2010-2012,1382,14.8,1539,16.5,2921,31.2,ELEMENTARY,6248,0.668,MALE,9353
140000,ERIE,ERIE,WESTERN NEW YORK,2010-2012,2032,16.7,2155,17.7,4187,34.5,MIDDLE/HIGH,7741,0.637,ALL,12152
140000,ERIE,ERIE,WESTERN NEW YORK,2010-2012,1038,17.2,946,15.7,1984,32.8,MIDDLE/HIGH,3952,0.654,FEMALE,6043
140000,ERIE,ERIE,WESTERN NEW YORK,2010-2012,994,16.3,1209,19.8,2203,36.1,MIDDLE/HIGH,3789,0.621,MALE,6101
140000,ERIE,ERIE,WESTERN NEW YORK,2011-2013,4664,15.8,4402,14.9,9066,30.7,DISTRICT TOTAL,19592,0.664,ALL,29506
140000,ERIE,ERIE,WESTERN NEW YORK,2011-2013,2299,15.8,1968,13.6,4267,29.4,DISTRICT TOTAL,9789,0.674,FEMALE,14524
140000,ERIE,ERIE,WESTERN NEW YORK,2011-2013,2365,15.8,2434,16.2,4799,32.0,DISTRICT TOTAL,9803,0.654,MALE,14989
140000,ERIE,ERIE,WESTERN NEW YORK,2011-2013,2720,15.1,2477,13.8,5197,28.9,ELEMENTARY,12273,0.682,ALL,17996
140000,ERIE,ERIE,WESTERN NEW YORK,2011-2013,1327,14.8,1171,13.1,2498,27.9,ELEMENTARY,6166,0.687,FEMALE,8975
140000,ERIE,ERIE,WESTERN NEW YORK,2011-2013,1393,15.4,1306,14.5,2699,29.9,ELEMENTARY,6107,0.676,MALE,9034
140000,ERIE,ERIE,WESTERN NEW YORK,2011-2013,1981,17.1,1976,17.1,3957,34.2,MIDDLE/HIGH,7386,0.638,ALL,11577
140000,ERIE,ERIE,WESTERN NEW YORK,2011-2013,992,17.7,804,14.4,1796,32.1,MIDDLE/HIGH,3679,0.658,FEMALE,5591
140000,ERIE,ERIE,WESTERN NEW YORK,2011-2013,989,16.5,1172,19.6,2161,36.1,MIDDLE/HIGH,3707,0.619,MALE,5989
140000,ERIE,ERIE,WESTERN NEW YORK,2012-2014,5623,16.5,5250,15.4,10873,31.9,DISTRICT TOTAL,22255,0.653,ALL,34081
140000,ERIE,ERIE,WESTERN NEW YORK,2012-2014,2684,16.0,2401,14.3,5085,30.4,DISTRICT TOTAL,11184,0.668,FEMALE,16743
140000,ERIE,ERIE,WESTERN NEW YORK,2012-2014,2939,17.0,2849,16.5,5788,33.4,DISTRICT TOTAL,11071,0.639,MALE,17326
140000,ERIE,ERIE,WESTERN NEW YORK,2012-2014,3086,15.5,2730,13.7,5816,29.3,ELEMENTARY,13463,0.677,ALL,19886
140000,ERIE,ERIE,WESTERN NEW YORK,2012-2014,1501,15.2,1288,13.1,2789,28.3,ELEMENTARY,6755,0.685,FEMALE,9861
140000,ERIE,ERIE,WESTERN NEW YORK,2012-2014,1585,15.8,1442,14.4,3027,30.2,ELEMENTARY,6708,0.67,MALE,10012
140000,ERIE,ERIE,WESTERN NEW YORK,2012-2014,2537,18.0,2495,17.7,5032,35.6,MIDDLE/HIGH,8805,0.624,ALL,14111
140000,ERIE,ERIE,WESTERN NEW YORK,2012-2014,1178,17.2,1088,15.9,2266,33.1,MIDDLE/HIGH,4444,0.65,FEMALE,6837
140000,ERIE,ERIE,WESTERN NEW YORK,2012-2014,1359,18.7,1407,19.3,2766,38.0,MIDDLE/HIGH,4361,0.599,MALE,7280
140000,ERIE,ERIE,WESTERN NEW YORK,2013-2015,5583,16.9,5234,15.9,10817,32.8,DISTRICT TOTAL,21240,0.644,ALL,32981
140000,ERIE,ERIE,WESTERN NEW YORK,2013-2015,2879,17.2,2809,16.8,5688,33.9,DISTRICT TOTAL,10606,0.633,FEMALE,16755
140000,ERIE,ERIE,WESTERN NEW YORK,2013-2015,2704,16.7,2425,15.0,5129,31.6,DISTRICT TOTAL,10634,0.656,MALE,16210
140000,ERIE,ERIE,WESTERN NEW YORK,2013-2015,3002,15.9,2673,14.2,5675,30.1,ELEMENTARY,12595,0.669,ALL,18827
140000,ERIE,ERIE,WESTERN NEW YORK,2013-2015,1515,15.8,1434,14.9,2949,30.7,ELEMENTARY,6359,0.663,FEMALE,9591
140000,ERIE,ERIE,WESTERN NEW YORK,2013-2015,1487,16.1,1239,13.4,2726,29.5,ELEMENTARY,6236,0.675,MALE,9239
140000,ERIE,ERIE,WESTERN NEW YORK,2013-2015,2576,18.3,2557,18.2,5133,36.5,MIDDLE/HIGH,8632,0.614,ALL,14059
140000,ERIE,ERIE,WESTERN NEW YORK,2013-2015,1362,19.1,1373,19.2,2735,38.3,MIDDLE/HIGH,4241,0.594,FEMALE,7140
140000,ERIE,ERIE,WESTERN NEW YORK,2013-2015,1214,17.6,1184,17.1,2398,34.7,MIDDLE/HIGH,4391,0.635,MALE,6915
140000,ERIE,ERIE,WESTERN NEW YORK,2014-2016,5956,16.9,5635,16.0,11591,33.0,DISTRICT TOTAL,19795,0.564,ALL,35098
140000,ERIE,ERIE,WESTERN NEW YORK,2014-2016,2867,17.4,2297,13.9,5164,31.3,DISTRICT TOTAL,10891,0.661,FEMALE,16477
140000,ERIE,ERIE,WESTERN NEW YORK,2014-2016,3089,16.6,3338,18.0,6427,34.6,DISTRICT TOTAL,8904,0.479,MALE,18589
140000,ERIE,ERIE,WESTERN NEW YORK,2014-2016,3225,16.3,2743,13.8,5968,30.1,ELEMENTARY,13205,0.667,ALL,19798
140000,ERIE,ERIE,WESTERN NEW YORK,2014-2016,1636,16.8,1243,12.8,2879,29.6,ELEMENTARY,6569,0.675,FEMALE,9732
140000,ERIE,ERIE,WESTERN NEW YORK,2014-2016,1589,15.8,1500,14.9,3089,30.7,ELEMENTARY,6636,0.66,MALE,10055
140000,ERIE,ERIE,WESTERN NEW YORK,2014-2016,2381,17.7,2323,17.2,4704,35.0,MIDDLE/HIGH,8485,0.632,ALL,13426
140000,ERIE,ERIE,WESTERN NEW YORK,2014-2016,1231,18.3,1054,15.7,2285,34.0,MIDDLE/HIGH,4322,0.644,FEMALE,6711
140000,ERIE,ERIE,WESTERN NEW YORK,2014-2016,1150,17.1,1269,18.9,2419,36.0,MIDDLE/HIGH,4163,0.62,MALE,6715
140000,ERIE,ERIE,WESTERN NEW YORK,2015-2017,6197,16.9,5876,16.0,12073,32.9,DISTRICT TOTAL,20873,0.569,ALL,36684
140000,ERIE,ERIE,WESTERN NEW YORK,2015-2017,2998,17.3,2395,13.8,5393,31.1,DISTRICT TOTAL,11512,0.663,FEMALE,17363
140000,ERIE,ERIE,WESTERN NEW YORK,2015-2017,3199,16.5,3481,18.0,6680,34.5,DISTRICT TOTAL,9361,0.484,MALE,19341
140000,ERIE,ERIE,WESTERN NEW YORK,2015-2017,3348,16.0,2873,13.8,6221,29.8,ELEMENTARY,14039,0.672,ALL,20891
140000,ERIE,ERIE,WESTERN NEW YORK,2015-2017,1694,16.4,1315,12.8,3009,29.2,ELEMENTARY,6987,0.678,FEMALE,10305
140000,ERIE,ERIE,WESTERN NEW YORK,2015-2017,1654,15.6,1558,14.7,3212,30.3,ELEMENTARY,7052,0.666,MALE,10589
140000,ERIE,ERIE,WESTERN NEW YORK,2015-2017,2492,17.9,2422,17.4,4914,35.3,MIDDLE/HIGH,8728,0.627,ALL,13920
140000,ERIE,ERIE,WESTERN NEW YORK,2015-2017,1294,18.4,1080,15.4,2374,33.8,MIDDLE/HIGH,4521,0.644,FEMALE,7020
140000,ERIE,ERIE,WESTERN NEW YORK,2015-2017,1198,17.4,1342,19.4,2540,36.8,MIDDLE/HIGH,4207,0.609,MALE,6908
140000,ERIE,ERIE,WESTERN NEW YORK,2016-2018,5712,16.2,5693,16.1,11405,32.3,DISTRICT TOTAL,22863,0.647,ALL,35337
140000,ERIE,ERIE,WESTERN NEW YORK,2016-2018,2907,16.7,2532,14.6,5439,31.3,DISTRICT TOTAL,11461,0.659,FEMALE,17392
140000,ERIE,ERIE,WESTERN NEW YORK,2016-2018,2805,15.6,3161,17.6,5966,33.2,DISTRICT TOTAL,11402,0.634,MALE,17984
140000,ERIE,ERIE,WESTERN NEW YORK,2016-2018,3246,15.3,3077,14.5,6323,29.8,ELEMENTARY,14182,0.669,ALL,21199
140000,ERIE,ERIE,WESTERN NEW YORK,2016-2018,1643,15.8,1408,13.6,3051,29.4,ELEMENTARY,7021,0.676,FEMALE,10386
140000,ERIE,ERIE,WESTERN NEW YORK,2016-2018,1603,14.8,1669,15.5,3272,30.3,ELEMENTARY,7161,0.663,MALE,10801
140000,ERIE,ERIE,WESTERN NEW YORK,2016-2018,2455,17.4,2624,18.6,5079,36.0,MIDDLE/HIGH,8672,0.615,ALL,14101
140000,ERIE,ERIE,WESTERN NEW YORK,2016-2018,1250,18.0,1124,16.2,2374,34.1,MIDDLE/HIGH,4433,0.637,FEMALE,6959
140000,ERIE,ERIE,WESTERN NEW YORK,2016-2018,1205,16.8,1500,20.9,2705,37.8,MIDDLE/HIGH,4255,0.594,MALE,7163
140000,ERIE,ERIE,WESTERN NEW YORK,2017-2019,5733,15.9,5755,16.0,11488,31.9,DISTRICT TOTAL,11593,0.655,ALL,17699
140000,ERIE,ERIE,WESTERN NEW YORK,2017-2019,2939,16.6,2633,14.9,5572,31.5,DISTRICT TOTAL,11744,0.642,FEMALE,18293
140000,ERIE,ERIE,WESTERN NEW YORK,2017-2019,2794,15.3,3122,17.1,5916,32.3,DISTRICT TOTAL,23337,0.648,MALE,36014
140000,ERIE,ERIE,WESTERN NEW YORK,2017-2019,3409,15.5,3163,14.3,6572,29.8,ELEMENTARY,14717,0.667,ALL,22064
140000,ERIE,ERIE,WESTERN NEW YORK,2017-2019,1727,16.0,1466,13.5,3193,29.5,ELEMENTARY,7265,0.671,FEMALE,10827
140000,ERIE,ERIE,WESTERN NEW YORK,2017-2019,1682,15.0,1697,15.1,3379,30.1,ELEMENTARY,7452,0.663,MALE,11240
140000,ERIE,ERIE,WESTERN NEW YORK,2017-2019,2320,16.7,2612,18.8,4932,35.5,MIDDLE/HIGH,8612,0.621,ALL,13868
140000,ERIE,ERIE,WESTERN NEW YORK,2017-2019,1208,17.7,1167,17.1,2375,34.9,MIDDLE/HIGH,4309,0.633,FEMALE,6807
140000,ERIE,ERIE,WESTERN NEW YORK,2017-2019,1112,15.7,1445,20.4,2557,36.2,MIDDLE/HIGH,4303,0.609,MALE,7066
150000,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2010-2012,221,17.3,240,18.8,461,36.0,DISTRICT TOTAL,814,0.636,ALL,1280
150000,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2010-2012,93,14.1,117,17.8,210,31.9,DISTRICT TOTAL,448,0.681,FEMALE,658
150000,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2010-2012,128,20.6,123,19.8,251,40.4,DISTRICT TOTAL,366,0.588,MALE,622
150000,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2010-2012,108,15.8,125,18.3,233,34.1,ELEMENTARY,451,0.659,ALL,684
150000,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2010-2012,42,12.2,57,16.6,99,28.8,ELEMENTARY,245,0.712,FEMALE,344
150000,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2010-2012,66,19.4,68,20.0,134,39.4,ELEMENTARY,206,0.606,MALE,340
150000,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2010-2012,78,16.3,89,18.6,167,34.9,MIDDLE/HIGH,312,0.651,ALL,479
